comprimé;0;MEDROL 100 mg, comprimé
comprimé pelliculé;0;XYZALL 5 mg, comprimé pelliculé
solution injectable;0;CARBETOCINE AGUETTANT 100 microgrammes/ml, solution injectable en seringue pré-remplie
solution injectable;0;SIMPONI 100 mg, solution injectable en seringue préremplie
lotion pour application;0;LOCACID, lotion
comprimé pelliculé;0;ATOVAQUONE/PROGUANIL EG 250 mg/100 mg, comprimé pelliculé
comprimé pelliculé;1;ALMOTRIPTAN;ALMOTRIPTAN ZYDUS 12,5 mg, comprimé pelliculé
comprimé sécable;1;TERBINAFINE;TERBINAFINE LICONSA 250 mg, comprimé sécable
sirop;0;RHINATHIOL EXPECTORANT CARBOCISTEINE 5 % ADULTES, sirop
comprimé pelliculé;1;AZITHROMYCINE;ZITHROMAX 250 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;0;KOGENATE BAYER 2000 UI, poudre et solvant pour solution injectable
gélule;1;OXYCODONE;OXYCODONE ARROW 10 mg, gélule
solution injectable;1;CHLORHYDRATE DE LIDOCAÏNE ANHYDRE;XYLOCAINE 10 mg/ml SANS CONSERVATEUR, solution injectable
comprimé orodispersible;0;FAMENPAX, comprimé orodispersible
comprimé pelliculé;0;IRBESARTAN/HYDROCHLOROTHIAZIDE SANDOZ 150 mg/12,5 mg, comprimé pelliculé
collyre en solution;1;BRIMONIDINE;BRIMONIDINE EG 0,2 % (2 mg/ml), collyre en solution
comprimé pelliculé sécable;1;CIPROFLOXACINE;CIPROFLOXACINE SANDOZ 250 mg, comprimé pelliculé sécable
comprimé;0;ALLOPURINOL ZENTIVA 300 mg, comprimé
comprimé sécable;0;ALPRAZOLAM MYLAN 0,50 mg, comprimé sécable
solution injectable;1;ACIDE GADOTÉRIQUE;DOTAREM 0,5 mmol/mL, solution injectable en seringue pré-remplie
poudre et  solvant pour solution injectable;1;MÉTHYLPREDNISOLONE;SOLUMEDROL 1 g, poudre et solvant pour solution injectable
 comprimé et solution(s) et granules et poudre et pommade;0;URTICA URENS BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
comprimé pelliculé;0;TADALAFIL SANDOZ 2,5 mg, comprimé pelliculé
solution injectable;1;IODE;OMNIPAQUE 350 mg d'I/mL, solution injectable
comprimé;0;ACICLOVIR ARROW 200 mg, comprimé
comprimé pelliculé;1;CIPROFLOXACINE;CIPROFLOXACINE ARROW 250 mg, comprimé pelliculé
comprimé pelliculé;0;OLANZAPINE MYLAN 5 mg, comprimé pelliculé
comprimé pelliculé à libération prolongée;1;OXYCODONE;OXYCODONE BIOGARAN LP 5 mg, comprimé pelliculé à libération prolongée
comprimé;0;ACICLOVIR TEVA 800 mg, comprimé
comprimé pelliculé;1;ROPINIROLE;REQUIP 1 mg, comprimé pelliculé
comprimé pelliculé;0;IRBESARTAN BIOGARAN 75 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;0;ALPROLIX 250 UI, poudre et solvant pour solution injectable
comprimé pelliculé;1;PITOLISANT;WAKIX 4,5 mg, comprimé pelliculé
poudre et  solution pour usage parentéral à diluer;0;MUPHORAN, poudre et solution pour usage parentéral à diluer (perfusion)
comprimé pelliculé sécable;0;PIRACETAM RPG 800 mg, comprimé pelliculé sécable
comprimé pelliculé;0;ALTEISDUO 20 mg/12,5 mg, comprimé pelliculé
comprimé sécable;0;RAMIPRIL ARROW LAB 10 mg, comprimé sécable
poudre pour solution à diluer injectable pour perfusion;1;RÉMIFENTANIL BASE;REMIFENTANIL B BRAUN 1 mg, poudre pour solution à diluer pour solution injectable/pour perfusion
comprimé pelliculé;1;ONDANSÉTRON;ONDANSETRON SANDOZ 8 mg, comprimé pelliculé
comprimé;0;EZETIMIBE/SIMVASTATINE MYLAN 10 mg/40 mg, comprimé
gélule;1;AMLODIPINE;AMLODIPINE BOUCHARA-RECORDATI 10 mg, gélule
comprimé pelliculé;0;DOLIPRANETABS 1000 mg, comprimé pelliculé
comprimé pelliculé et  comprimé pelliculé;0;ETHINYLESTRADIOL/DROSPIRENONE CRISTERS CONTINU 0,02 mg/3 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;CALCAREA FLUORICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution injectable;0;MILRINONE STRAGEN 1 mg/ml, solution injectable
solution pour lavage;0;DACUDOSES, solution pour lavage ophtalmique en récipient unidose
comprimé enrobé;0;LEVONORGESTREL/ETHINYLESTRADIOL ZENTIVA 100 microgrammes/20 microgrammes, comprimé enrobé
comprimé enrobé;0;DAFLON, comprimé enrobé
solution injectable pour perfusion;1;CISATRACURIUM;CISATRACURIUM ACCORD 2 mg/ml, solution injectable/pour perfusion
solution injectable;0;FLUMAZENIL KABI 0,1 mg/ml, solution injectable
poudre pour solution buvable;0;RHEOFLUX 3500 mg, poudre pour solution buvable en sachet-dose
solution injectable;0;SYNCORTYL 10 mg/1 ml, solution injectable IM
comprimé;0;ARIPIPRAZOLE BGR 10 mg, comprimé
poudre et  solvant pour suspension injectable à libération prolongée;0;ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée
sirop;0;ERGIX ENFANTS TOUX SECHE, sirop
comprimé pelliculé;0;VALSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 80 mg / 12.5 mg, comprimé pelliculé
solution injectable pour usage dentaire;1;NORADRÉNALINE;SCANDONEST 20 mg/mL NORADRENALINEE au 1/100 000, solution injectable à usage dentaire
solution à diluer pour perfusion;1;FOMÉPIZOLE;FOMEPIZOLE AP-HP 5 mg/ml, solution à diluer pour perfusion
solution à diluer pour perfusion;1;ATOSIBAN;ATOSIBAN EVER PHARMA 37,5 mg/5 mL, solution à diluer pour perfusion
comprimé sécable;0;FOSINOPRIL ZENTIVA 10 mg, comprimé sécable
 comprimé et solution(s) et granules et poudre et pommade;0;HYDROCOTYLE ASIATICA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
suspension buvable à diluer;0;MICROPAQUE SCANNER, suspension buvable à diluer
solution à diluer pour perfusion;0;DOCETAXEL ACCORD 80 mg/4 ml, solution à diluer pour perfusion
plante(s) pour tisane;0;TISANE PROVENCALE N°1, plantes pour tisane en sachet
solution injectable;1;URAPIDIL;EUPRESSYL 100 mg/20 ml, solution injectable
comprimé pelliculé;1;MÉMANTINE;MEMANTINE EG 10 mg, comprimé pelliculé
comprimé pelliculé;0;LOSARTAN RANBAXY 50 mg, comprimé pelliculé
comprimé pelliculé;1;VORTIOXÉTINE;BRINTELLIX 20 mg, comprimé pelliculé
gélule;1;NAFTIDROFURYL;PRAXILENE 100 mg, gélule
comprimé;0;ZAPRILIS 10 mg, comprimé
lotion;1;BÉTAMÉTHASONE;DIPROSALIC, lotion
comprimé enrobé;0;CHOPHYTOL, comprimé enrobé
solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration;0;ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration
comprimé pelliculé;0;CONVULINE 0,03 mg/3 mg, comprimé pelliculé
crème;0;EPITOPIC 0,05 POUR CENT, crème
poudre pour solution injectable;1;BORTÉZOMIB;VELCADE 3,5 mg, poudre pour solution injectable
suppositoire;0;BRONCHODERMINE ENFANTS, suppositoire
comprimé pelliculé sécable;0;LOSARTAN ACTAVIS 50 mg, comprimé pelliculé sécable
gélule;0;ZYKADIA 150 mg, gélule
solution pour perfusion;0;ZAVEDOS 5 mg/5 ml, solution pour perfusion
comprimé pelliculé;1;PÉRINDOPRIL;PERINDOPRIL TOSILATE TEVA 10 mg, comprimé pelliculé
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE EG 100/12,5 mg, comprimé pelliculé
gélule;1;MAGNÉSIUM;MEGAMAG 45 mg, gélule
comprimé pelliculé;0;RISPERDAL 4 mg, comprimé pelliculé
comprimé pelliculé sécable;1;ESCITALOPRAM;ESCITALOPRAM CRISTERS 15 mg, comprimé pelliculé sécable
poudre pour solution buvable;0;PARACETAMOL BIOGARAN 300 mg, poudre pour solution buvable en sachet-dose
 comprimé et solution(s) et granules et poudre et pommade;0;ACONITUM NAPELLUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution injectable;0;OMNISCAN 0,5 mmol/ml, solution injectable en seringue pré-remplie
solution injectable;0;ARANESP 60 microgrammes, solution injectable en seringue préremplie
solution pour dialyse péritonéale;2;GLUCOSE ANHYDRE;LACTATE DE SODIUM ANHYDRE;NEUTRAVERA GLUCOSE 2,3 % CALCIUM 1,25 mmol/l, solution pour dialyse péritonéale
comprimé pelliculé;1;QUINAPRIL BASE;QUINAPRIL TEVA 20 mg, comprimé pelliculé
gélule;0;TEMODAL 100 mg, gélule
gélule à libération prolongée;1;VENLAFAXINE;VENLAFAXINE ZENTIVA LP 75 mg, gélule à libération prolongée
solution injectable pour usage dentaire;1;ADRÉNALINE;ARTICADENT 1/100 000, solution injectable à usage dentaire
comprimé sécable;0;ATENOLOL EG 100 mg, comprimé sécable
comprimé pelliculé;1;SILDÉNAFIL;SILDENAFIL ACCORD 100 mg, comprimé pelliculé
gélule à libération prolongée;0;EUPHYLLINE L.A. 300 mg, gélule à libération prolongée
pommade;0;DEXPANTHENOL BIOGARAN CONSEIL 5 %, pommade
comprimé enrobé;0;OLANZAPINE CRISTERS 10 mg, comprimé enrobé
gélule à libération modifiée;1;MÉTHYLPHÉNIDATE;QUASYM L.P. 30 mg, gélule à libération modifiée
comprimé enrobé;0;VIBTIL, comprimé enrobé
comprimé;0;ORAP 4 mg, comprimé
poudre et  solvant pour solution injectable;0;LUVERIS 75 UI, poudre et solvant pour solution injectable
gélule;1;DABRAFÉNIB;TAFINLAR 75 mg, gélule
comprimé à sucer;0;CETIRIZINE EG 10 mg, comprimé à sucer
suspension buvable;0;GAVISCONPRO MENTHE 1000 mg/200 mg/10 ml, suspension buvable
bâton pour usage urétral;0;MUSE 500 microgrammes, bâton pour usage urétral
pommade;0;BAUME AGATHOL, pommade
comprimé;0;FENOFIBRATE EG 145 mg, comprimé
comprimé pelliculé;0;VALSARTAN/HYDROCHLOROTHIAZIDE ARROW 80 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé;1;FEXOFÉNADINE BASE;FEXOFENADINE MYLAN 180 mg, comprimé pelliculé
comprimé pelliculé;0;SPIRAMYCINE/METRONIDAZOLE TEVA 750.000 UI/125 mg, comprimé pelliculé
comprimé;0;CANDESARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN 16 mg/12,5 mg, comprimé
poudre et  solvant pour solution injectable;0;RABIPUR, poudre et solvant pour solution injectable. Vaccin rabique, inactivé
solution pour perfusion;0;BICARBONATE DE SODIUM COOPER 1,4 POUR CENT (0,14 g/10 ml), solution pour perfusion en ampoule
poudre pour inhalation;0;INNOVAIR NEXTHALER 100 microgrammes/6 microgrammes par dose, poudre pour inhalation
lyophilisat;0;NALADOR 500 microgrammes, lyophilisat pour usage parentéral
gélule;0;TRANDOLAPRIL ACTAVIS 4 mg, gélule
comprimé sécable;0;DIAZEPAM ARROW 10 mg, comprimé sécable
comprimé pelliculé;0;IBUPROFENE ZF 400 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;0;GONAL-F 75 UI (5,5 microgrammes), poudre et solvant pour solution injectable
comprimé sécable;1;LISINOPRIL ANHYDRE;LISINOPRIL/HYDROCHLOROTHIAZIDE EG 20 mg/12,5 mg, comprimé sécable
comprimé pelliculé;1;VALACICLOVIR;VALACICLOVIR ZYDUS 500 mg, comprimé pelliculé
collutoire;0;GIVALEX, collutoire
solution pour perfusion;0;GLUCIDION G 10, solution pour perfusion en poche
solution injectable;0;BENEPALI 50 mg, solution injectable en seringue préremplie
gélule;0;TEMODAL 180 mg, gélule
comprimé dispersible;0;LAMOTRIGINE BIOGARAN 100 mg, comprimé dispersible
comprimé;0;CANDESARTAN/HYDROCHLOROTHIAZIDE SANDOZ 8 mg/12,5 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;0;MERCURIUS BI-IODATUS LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
solution injectable;0;PENTETATE D'INDIUM [111 In] MALLINCKRODT FRANCE, solution injectable
solution injectable;0;PEGASYS 135 microgrammes, solution injectable en seringue préremplie
solution buvable gouttes;0;IKARAN, solution buvable en gouttes
comprimé;0;EFFORTIL 5 mg, comprimé
comprimé;0;PARACETAMOL ALMUS 500 mg, comprimé
comprimé pelliculé;1;SILDÉNAFIL;GRANPIDAM 20 mg, comprimé pelliculé
comprimé;0;IMETH 2,5 mg, comprimé
comprimé sécable;0;ALPRAZOLAM SANDOZ 0,50 mg, comprimé sécable
solution injectable;0;EPIPEN 0,30 mg/0,3 ml, solution injectable en stylo pré-rempli
 comprimé et solution(s) et granules et poudre et pommade;0;JABORANDI LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution injectable ou pour perfusion;0;ZARZIO 30 MU/0,5 ml, solution injectable ou pour perfusion en seringue pré-remplie
suppositoire;0;SUPPOSITOIRES A LA GLYCERINE MONOT ENFANTS
granulés pour solution buvable;1;FOSFOMYCINE;FOSFOMYCINE ZENTIVA ADULTES 3 g, granulés pour solution buvable en sachet
solution injectable;1;FENTANYL;FENTANYL RENAUDIN 50 microgrammes/mL, solution injectable en ampoule (IV et péridurale)
 comprimé et solution(s) et granules et poudre et pommade;0;COCHLEARIA OFFICINALIS BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
granules et  poudre et  solution en gouttes en gouttes;0;KALIUM BICROMICUM WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
poudre pour solution injectable;1;MÉTHYLPREDNISOLONE;METHYLPREDNISOLONE MYLAN 40 mg, poudre pour solution injectable (IM-IV)
poudre pour suspension buvable;1;AMOXICILLINE ANHYDRE;AMOXICILLINE ZENTIVA LAB 500 mg/5 ml, poudre pour suspension buvable
comprimé pelliculé;0;BISOPROLOL/HYDROCHLOROTHIAZIDE MYLAN PHARMA 10 mg/6,25 mg, comprimé pelliculé
comprimé sécable;0;BISOPROLOL TEVA SANTE 5 mg, comprimé sécable
poudre et  solvant pour solution injectable;1;CEFTRIAXONE BASE;ROCEPHINE 1 g/10 ml, poudre et solvant pour solution injectable (IV)
comprimé pelliculé;0;ACECLOFENAC EG 100 mg, comprimé pelliculé
solution injectable pour usage dentaire;1;ADRÉNALINE;SEPTANEST 40 mg/ml ADRENALINEE AU 1/100 000, solution injectable à usage dentaire
comprimé;1;PÉRINDOPRIL;PERINDOPRIL/INDAPAMIDE TEVA 2 mg/0,625 mg, comprimé
solution injectable;0;CHLORURE DE SODIUM 0,9 POUR CENT RENAUDIN (0,09 g/ 10 ml), solution injectable en ampoule
comprimé pelliculé;0;BOLDOFLORINE, comprimé pelliculé
gélule à libération prolongée;0;ZAMUDOL L.P. 200 mg, gélule à libération prolongée
solution pour application;0;MINOXIDIL BAILLEUL 2 %, solution pour application cutanée
comprimé;1;AMBROXOL BASE;AMBROXOL TEVA CONSEIL 30 mg, comprimé
comprimé;0;LYSANXIA 10 mg, comprimé
comprimé sécable;0;TENSIONORME, comprimé sécable
crème;0;AMYCOR 1 POUR CENT, crème pour application
comprimé;0;BETAHISTINE RANBAXY 24 mg, comprimé
gélule à libération prolongée;0;LANGORAN L.P. 80 mg, gélule à libération prolongée
comprimé pelliculé sécable;0;PRAVASTATINE MYLAN 10 mg, comprimé pelliculé sécable
comprimé enrobé à libération prolongée;1;DICLOFÉNAC;VOLTARENE LP 75 mg, comprimé enrobé à libération prolongée
 solution et granules et poudre et pommade;0;ANTIMONIUM METALLICUM WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
solution injectable;0;ADRENALINE AGUETTANT 1 mg/ml, solution injectable en ampoule
comprimé pelliculé;1;ALMOTRIPTAN;ALMOGRAN 12,5 mg, comprimé pelliculé
poudre et  solvant pour solution injectable ou pour perfusion;0;VONCENTO 500 UI FVIII/1200 UI FVW (5 ml de solvant), poudre et solvant pour solution injectable/perfusion
gélule à libération prolongée;0;KETOPROFENE SANDOZ LP 200 mg, gélule à libération prolongée
comprimé enrobé;0;ACTICARBINE 70 mg, comprimé enrobé
comprimé pelliculé sécable;0;SPIRONOLACTONE ARROW LAB 75 mg, comprimé pelliculé sécable
comprimé pelliculé;2;AMLODIPINE;PÉRINDOPRIL;TRIPLIXAM 5 mg/1,25 mg/10 mg, comprimé pelliculé
comprimé pelliculé sécable;0;CETIRIZINE ARROW CONSEIL 10 mg, comprimé pelliculé sécable
poudre pour suspension buvable;0;ORACEFAL 500 mg/ 5 ml, poudre pour suspension buvable
comprimé enrobé et  comprimé enrobé et  comprimé enrobé;0;TRI MINULET, comprimé enrobé
pommade;0;PLASTENAN, pommade
comprimé enrobé;0;HEXAQUINE, comprimé enrobé
solution injectable;1;PHÉNYLÉPHRINE;PHENYLEPHRINE RENAUDIN 50 microgrammes/ml, solution injectable
solution injectable;0;AETOXISCLEROL 1 % (20 mg/2 mL), solution injectable
 comprimé et solution(s) et granules et poudre et pommade;0;BERBERIS VULGARIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé enrobé;0;TIBERAL, comprimé
comprimé sécable;0;DI-HYDAN 100 mg, comprimé sécable
solution injectable;0;FIASP 100 unités/ml, solution injectable en cartouche
comprimé enrobé;0;NUROFEN 400 mg, comprimé enrobé
gélule;1;DABIGATRAN ÉTEXILATE BASE;PRADAXA 75 mg, gélule
solution injectable;0;ROPIVACAÏNE KABI 2 mg/ml, solution injectable en ampoule
comprimé pelliculé;1;NÉBIVOLOL BASE;CONEBILOX 5 mg/25 mg, comprimé pelliculé
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE ALTER 40 mg, comprimé pelliculé
comprimé pelliculé;1;ROPINIROLE;ROPINIROLE MYLAN 5 mg, comprimé pelliculé
solution pour perfusion;1;GLUCOSE ANHYDRE;GLUCOSE 10 % MACOPHARMA, solution pour perfusion
solution pour application;0;ALOSTIL 2 %, solution pour application cutanée
poudre et  solvant pour suspension buvable;0;COZAAR 2,5 mg/ml, poudre et solvant pour suspension buvable
granules et  poudre et  solution en gouttes en gouttes;0;MERCURIUS DULCIS WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
poudre pour solution injectable;1;CÉFÉPIME;CEFEPIME PANPHARMA 1 g, poudre pour solution injectable (IM/IV)
gélule;0;ELUSANES GRANDE CAMOMILLE, gélule
comprimé;1;PÉRINDOPRIL;PERINDOPRIL ARROW LAB 2 mg, comprimé
comprimé pelliculé;1;AMITRIPTYLINE;LAROXYL 50 mg, comprimé pelliculé
solution injectable;0;LOVENOX 10 000 UI (100 mg)/1 ml, solution injectable en seringue préremplie
comprimé pelliculé;1;IVABRADINE;IVABRADINE MYLAN 7,5 mg, comprimé pelliculé
comprimé sécable;0;IKOREL 10 mg, comprimé sécable
granules et  solution en gouttes en gouttes;0;ANACARDIUM ORIENTALE WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gel;2;CALCIPOTRIOL;BÉTAMÉTHASONE;XAMIOL 50 microgrammes/0,5 mg/g, gel
comprimé pelliculé;0;NORFLOXACINE RANBAXY 400 mg, comprimé pelliculé
comprimé;0;KETOCONAZOLE HRA 200 mg, comprimé
comprimé pelliculé;1;CARBIDOPA ANHYDRE;STALEVO 75 mg/18,75 mg/200 mg, comprimé pelliculé
solution pour prick-test;0;SOLUPRICK CONTROLE POSITIF 10 mg/ml, solution pour prick-test cutané
collyre;0;SEDACOLLYRE CETYLPYRIDINIUM 0,25 POUR MILLE, collyre en récipient unidose
solution pour préparation injectable;0;EAU POUR PREPARATIONS INJECTABLES LAVOISIER, solution pour préparation injectable
solution buvable;0;GRANIONS DE CUIVRE 0,3 mg/2 ml, solution buvable
comprimé à libération prolongée;1;ROPINIROLE;ROPINIROLE TEVA LP 8 mg, comprimé à libération prolongée
 comprimé et solution(s) et granules et poudre et pommade;0;MERCURIUS CYANATUS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH
comprimé;1;CYPROHEPTADINE;PERIACTINE 4 mg, comprimé
solution buvable gouttes;0;LYSANXIA 15 mg/ml, solution buvable en gouttes
comprimé pelliculé;1;CARBIDOPA ANHYDRE;LEVODOPA/CARBIDOPA/ENTACAPONE MYLAN 50 mg/12,5 mg/200 mg, comprimé pelliculé
suspension buvable;0;ALGINATE DE SODIUM/BICARBONATE DE SODIUM MYLAN 500 mg/267 mg, suspension buvable en sachet
comprimé effervescent(e);0;CLARADOL CAFEINE 500 mg/50 mg, comprimé effervescent
comprimé pelliculé sécable;0;ZOPICLONE CRISTERS 7,5 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;0;MIANSERINE RATIOPHARM 30 mg, comprimé pelliculé sécable
comprimé pelliculé;1;ATORVASTATINE;BONTEFEL 20 mg, comprimé pelliculé
comprimé quadrisécable;0;BROMAZEPAM EG 6 mg, comprimé quadrisécable
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE ARROW GENERIQUES 80 mg, comprimé pelliculé
comprimé;0;DESOGESTREL EG 0,075 mg, comprimé
comprimé pelliculé sécable;0;RISPERIDONE TEVA 4 mg, comprimé pelliculé sécable
suppositoire;0;ALGOTROPYL, suppositoire
gélule gastro-résistant(e);1;ÉSOMÉPRAZOLE;ESOMEPRAZOLE MYLAN CONSEIL 20 mg, gélule gastro-résistante
vernis à ongles médicamenteux(se);1;AMOROLFINE BASE;AMOROLFINE ARROW 5 %, vernis à ongles médicamenteux
comprimé pelliculé;1;ACÉBUTOLOL BASE;ACEBUTOLOL ZYDUS 400 mg, comprimé pelliculé
comprimé;0;FENOFIBRATE ZYDUS 145 mg, comprimé
solution injectable;0;INNOHEP 4 500 UI anti-Xa/0,45 ml, solution injectable en seringue préremplie
 comprimé et solution(s) et granules et poudre et pommade;0;CARDUUS MARIANUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé enrobé;0;MAXILASE MAUX DE GORGE ALPHA-AMYLASE 3000 U. CEIP, comprimé enrobé
comprimé pelliculé;0;SIMVASTATINE ALMUS 40 mg, comprimé pelliculé
gélule gastro-résistant(e);0;LANZOR 15 mg, gélule gastro-résistante
comprimé;1;FENTANYL;ABSTRAL 800 microgrammes, comprimé sublingual
poudre pour solution buvable;0;MICROLAX MACROGOL 5,9 g, poudre pour solution buvable
comprimé à libération prolongée;1;QUÉTIAPINE;QUETIAPINE SANDOZ LP 300 mg, comprimé à libération prolongée
comprimé à libération prolongée;1;QUÉTIAPINE;XEROQUEL LP 50 mg, comprimé à libération prolongée
comprimé pelliculé à libération prolongée;1;OXYCODONE;OXYCODONE MYLAN LP 40 mg, comprimé pelliculé à libération prolongée
comprimé;0;ESKAZOLE 400 mg, comprimé
comprimé;0;TELMISARTAN TEVA SANTE 80 mg, comprimé
comprimé pelliculé sécable;0;HYDROXYZINE TEVA 25 mg, comprimé pelliculé sécable
solution injectable;0;NORDITROPINE NORDIFLEX 10 mg/1,5 ml, solution injectable en stylo prérempli
comprimé pelliculé;0;NISIS 160 mg, comprimé pelliculé
comprimé;0;ACETYLLEUCINE MYLAN 500 mg, comprimé
gélule gastro-résistant(e);0;OMEPRAZOLE RPG 10 mg, gélule gastro-résistante
comprimé;1;FENTANYL;RECIVIT 400 microgrammes, comprimé sublingual
gélule;0;PARACETAMOL MYLAN 500 mg, gélule
sirop;0;POLERY ENFANTS, sirop
comprimé pelliculé;1;PRUCALOPRIDE;RESOLOR 1 mg, comprimé pelliculé
solution injectable;0;BICARBONATE DE SODIUM 1,4 POUR CENT (0,14 g/10 ml) RENAUDIN, solution injectable en ampoule
comprimé à sucer;2;CALCIUM ÉLÉMENT;CHOLÉCALCIFÉROL;FIXICAL VITAMINE D3 1000 mg/800 U.I., comprimé à sucer
comprimé;0;REPAGLINIDE EVOLUGEN 2 mg, comprimé
comprimé gastro-résistant(e);1;PANTOPRAZOLE;PANTOPRAZOLE EG 40 mg, comprimé gastro-résistant
poudre pour solution pour perfusion;0;VFEND 200 mg, poudre pour solution pour perfusion
suppositoire;0;OZOTHINE A LA DIPROPHYLLINE ADULTES, suppositoire
capsule molle;0;ESTERS ETHYLIQUES D'ACIDES OMEGA 3 EG LABO CONSEIL 1 g, capsule molle
comprimé pelliculé;0;OSSOPAN 600 mg, comprimé pelliculé
gélule gastro-résistant(e);0;OMEPRAZOLE ARROW 10 mg, gélule gastro-résistante
comprimé pelliculé sécable;0;CARVEDILOL ARROW 25 mg, comprimé pelliculé sécable
 comprimé et solution(s) et granules et poudre et pommade;0;ALLIUM SATIVUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé sécable;0;RISPERIDONE ARROW LAB 4 mg, comprimé pelliculé sécable
solution injectable;0;BARITEKAL 20 mg/ml, solution injectable
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE RATIO 20 mg, comprimé pelliculé
gélule;0;TRANDOLAPRIL ARROW 2 mg, gélule
comprimé pelliculé sécable;0;CETIRIZINE ISOMED 10 mg, comprimé pelliculé sécable
suspension pour inhalation par nébuliseur;0;BUDESONIDE EVOLUGEN 0,5 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose
comprimé sécable;0;NOMEGESTROL ARROW 5 mg, comprimé sécable
comprimé sécable;1;TERBINAFINE;TERBINAFINE ISOMED 250 mg, comprimé sécable
suppositoire;0;SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM ADULTES, suppositoire
gélule;0;RETROVIR 100 mg, gélule
gélule;1;RIVASTIGMINE;EXELON 1,5 mg, gélule
comprimé sécable;0;GLIBENCLAMIDE BIOGARAN 2,5 mg, comprimé sécable
comprimé orodispersible;1;RIZATRIPTAN;RIZATRIPTAN TEVA 10 mg, comprimé orodispersible
comprimé enrobé gastro-résistant(e);0;DICLOFENAC TEVA 25 mg, comprimé enrobé gastro-résistant
gélule;0;GABAPENTINE SANDOZ 100 mg, gélule
solution pour inhalation par nébuliseur;1;SALBUTAMOL;SALBUTAMOL MYLAN 2,5mg/2,5ml, solution pour inhalation par nébuliseur en récipient unidose
pastille;0;ACTIVOX MAUX DE GORGE ERYSIMUM AROME MIEL CITRON SANS SUCRE, pastille édulcorée au sorbitol
gel;0;KETOCONAZOLE SANDOZ 2 %, gel en récipient-unidose
comprimé;0;HOMEOGENE 9, comprimé
comprimé sécable;1;PÉRINDOPRIL;PERINDOPRIL/INDAPAMIDE RATIOPHARM 2 mg/0,625 mg, comprimé sécable
poudre pour suspension buvable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA 100 mg/12,5 mg NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
pommade;0;VICKS VAPORUB, pommade
comprimé pelliculé sécable;0;VALSARTAN SANDOZ 40 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;0;ANTALNOX 550 mg, comprimé pelliculé sécable
comprimé;0;CANDESARTAN/HYDROCHLOROTHIAZIDE RANBAXY 8 mg/12,5 mg, comprimé
gélule;0;GELUPRANE 500 mg, gélule
poudre et  solvant pour solution injectable;1;CYCLOPHOSPHAMIDE ANHYDRE;ENDOXAN 500 mg, poudre pour solution injectable
suspension injectable;0;HAVRIX 1440 U/1 ml ADULTES, suspension injectable en seringue pré-remplie. vaccin inactivé de l'hépatite A adsorbé
poudre pour solution injectable;1;CLOXACILLINE;ORBENINE 1 g, poudre pour solution injectable (IV)
collyre;1;TIMOLOL BASE;OPHTIM 0,25 POUR CENT (0,625 mg/0,25 ml), collyre en récipient unidose
