1;PÉRINDOPRIL|1,669  mg;PERINDOPRIL KRKA 2 mg, comprimé
0;PASSEDYL ENFANTS ET NOURRISSONS, sirop
0;DIOSMINE BIOGARAN CONSEIL 600 mg, comprimé pelliculé
0;CADENS 100 U.I./1 ml, solution injectable
0;JAYDESS 13,5 mg, système de diffusion intra-utérin
1;PALIPÉRIDONE|150 mg;XEPLION 150 mg, suspension injectable à libération prolongée
1;DORIPÉNEM|250 mg;DORIBAX 250 mg, poudre pour solution pour perfusion
0;REPAGLINIDE ZYDUS 0,5 mg, comprimé
0;CANDESARTAN EVOLUGEN 4 mg, comprimé sécable
1;CISATRACURIUM|2 mg;CISATRACURIUM KABI 2 mg/ml, solution injectable/pour perfusion
0;ALCOOL A USAGE MEDICAL GILBERT 2,5 ml, compresse imprégnée
0;VALSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 80 mg / 12.5 mg, comprimé pelliculé
1;RALTÉGRAVIR|100 mg;ISENTRESS 100 mg, granulés pour suspension buvable
0;IBUPROFENE BIOGARAN CONSEIL 200 mg, comprimé pelliculé
1;HYDROMORPHONE|3,56 mg;SOPHIDONE L.P. 4 mg, gélule à libération prolongée
0;LOSARTAN/HYDROCHLOROTHIAZIDE TEVA 50 mg/12,5 mg, comprimé pelliculé
0;CANDESARTAN TEVA 4 mg, comprimé sécable
1;ROPINIROLE|8 mg;ROPINIROLE KRKA LP 8 mg, comprimé à libération prolongée
1;NICOTINE|2 mg;NICORETTE 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au sorbitol
0;FEXOFENADINE ZENTIVA 120 mg, comprimé pelliculé
1;MÉMANTINE|8,31 mg;MEMANTINE ARROW 10 mg, comprimé pelliculé secable
6;CALCIUM ÉLÉMENT|100 mg;MAGNÉSIUM|100 mg;RIBOFLAVINE|15 mg;ZINC|10 mg;CHLORHYDRATE DE THIAMINE|15 mg;ACIDE PANTOTHÉNIQUE|23 mg;BEROCCA SANS SUCRE, comprimé effervescent édulcoré à l'aspartam et à l'acésulfame de potassium
0;GLIMEPIRIDE ZENTIVA 3 mg, comprimé
0;FLUCONAZOLE PFIZER 50 mg, gélule
1;CÉFIXIME ANHYDRE|0,32 g;OROKEN NOURRISSONS 40 mg/5 ml, poudre pour suspension buvable en flacon
0;LOSARTAN EVOLUGEN 50 mg, comprimé pelliculé sécable
0;TOBI 300 mg/5 ml, solution pour inhalation par nébuliseur
0;GLYCO-THYMOLINE 55, solution buccale
1;TOPOTÉCANE|4 mg;TOPOTECAN TEVA 4 mg/4 ml, solution à diluer pour perfusion
1;ROPINIROLE|0,250 mg;REQUIP 0,25 mg, comprimé pelliculé
0;KEFORAL 250 mg/5 ml, poudre pour suspension buvable en flacon
0;ROCURONIUM HOSPIRA 10 mg/ml, solution injectable/pour perfusion
0;SPIRONOLACTONE MYLAN 25 mg, comprimé pelliculé sécable
0;DESLORATADINE EG 0,5 mg/ml, solution buvable
0;EFDEGE 1,0 GBq/mL, solution injectable
0;TRIMEBUTINE EG 100 mg, comprimé
0;GARDENAL 50 mg, comprimé
1;BUPRÉNORPHINE|8 mg;BUPRENORPHINE CRISTERS 8 mg, comprimé sublingual
1;OSÉLTAMIVIR|75 mg;EBILFUMIN 75 mg, gélule
0;RAMIPRIL ALTER 5 mg, comprimé sécable
2;CILASTATINE ANHYDRE|500 mg;IMIPÉNEM ANHYDRE|500 mg;TIENAM 500 mg/500 mg, poudre pour solution pour perfusion
0;DILTIAZEM CRISTERS LP 120 mg, gélule à libération prolongée
0;NUROFEN 200 mg, comprimé orodispersible
1;HYDROMORPHONE|7,12 mg.;SOPHIDONE L.P. 8 mg, gélule à libération prolongée
0;CANDESARTAN TEVA 8 mg, comprimé sécable
0;KANJINTI 150 mg, poudre pour solution à diluer pour perfusion
1;TESTOSTÉRONE|631,5 mg;NEBIDO 1000 mg/4 ml, solution injectable
0;EMTRIVA 10 mg/ml, solution buvable
1;CYCLOPHOSPHAMIDE ANHYDRE|1 000 mg;CYCLOPHOSPHAMIDE SANDOZ 1000 mg, poudre pour solution injectable ou pour perfusion
1;VENLAFAXINE|75 mg;VENLAFAXINE BLUEFISH LP 75 mg, gélule à libération prolongée
0;LORATADINE ALMUS 10 mg, comprimé
1;RÉMIFENTANIL BASE|2 mg;REMIFENTANIL B BRAUN 2 mg, poudre pour solution à diluer pour solution injectable/pour perfusion
1;OXYCODONE|18,00 mg;OXYNORMORO 20 mg, comprimé orodispersible
2;AMLODIPINE|10 mg;PÉRINDOPRIL|6,79 mg;COVERAM 10 mg/10 mg, comprimé
0;PHYSOSTIGMA VENENOSUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
1;NICOTINE|4 mg;NICORETTE FRUITS 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol et à l'acésulfame potassique
0;LYCOPODIUM CLAVATUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;CHLORHYDRATE DE ROPIVACAÏNE ANHYDRE|7,50 mg;NAROPEINE 7,5 mg/ml, solution injectable en ampoule
0;ONDANSETRON ARROW 8 mg, comprimé orodispersible
0;PARACETAMOL ARROW 500 mg, comprimé
1;ARGENT|0,640 mg;GRANIONS D'ARGENT 0,64 mg/2 ml, solution buvable
0;EUPATORIUM PERFOLIATUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;OMEPRAZOLE CRISTERS 20 mg, gélule gastro-résistante
1;CIPROFLOXACINE|250 mg;CIPROFLOXACINE TEVA 250 mg, comprimé pelliculé sécable
1;ATORVASTATINE|80 mg;ATORVASTATINE ZENTIVA 80 mg, comprimé pelliculé
0;ASPIRINE UPSA VITAMINEE C TAMPONNEE EFFERVESCENTE, comprimé effervescent
0;CHOLECALCIFEROL TEVA 100 000 UI, solution buvable en ampoule
0;OFLOXACINE ZENTIVA 200 mg, comprimé pelliculé sécable
0;CHLORURE DE POTASSIUM PROAMP 0,15 g/ml, solution à diluer pour perfusion
0;KEPPRA 1000 mg, comprimé pelliculé
0;POLY-KARAYA, granulé
1;VENLAFAXINE|37,5 mg;VENLAFAXINE TEVA LP 37,5 mg, gélule à libération prolongée
0;TUSSIDANE 1,5 mg/ml SANS SUCRE, solution buvable édulcorée au maltitol liquide et à la saccharine sodique
0;SCROFULARIA NODOSA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;CEFTRIAXONE BASE|1 g;CEFTRIAXONE CRISTERS 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)
0;DILTIAZEM BIOGARAN LP 300 mg, gélule à libération prolongée
1;DOXÉPINE|10 mg;QUITAXON 10 mg, comprimé pelliculé sécable
1;PÉRINDOPRIL|6,676 mg;PERINDOPRIL ARROW LAB 8 mg, comprimé
0;SPIRAMYCINE/METRONIDAZOLE TEVA 750.000 UI/125 mg, comprimé pelliculé
0;OXYGENE MEDICINAL LIQUIDE MESSER FRANCE, gaz pour inhalation, pour évaporateur fixe et pour récipient cryogénique fixe
0;CANDESARTAN EVOLUGEN 8 mg, comprimé sécable
0;OMEPRAZOLE TEVA 10 mg, gélule gastro-résistante
0;XYREM 500 mg/ml, solution buvable
0;BUDESONIDE ARROW 0,5 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose
0;GLIMEPIRIDE MYLAN PHARMA 2 mg, comprimé
0;ZYMAD 200 000 UI, solution buvable en ampoule
0;HIBIDIL, solution pour application locale, stérile
0;BEMFOLA 300 UI/0,50 ml, solution injectable en stylo prérempli
0;ZOLPIDEM ARROW 10 mg, comprimé pelliculé sécable
0;LEVONORGESTREL/ETHINYLESTRADIOL BIOGARANCONTINU 100 microgrammes/20 microgrammes, comprimé pelliculé
1;CARBIDOPA ANHYDRE|43,75 mg;CORBILTA 175 mg/43,75 mg/200 mg, comprimé pelliculé
0;FLUORESCEINE FAURE 0,5 POUR CENT, collyre en solution en récipient unidose
0;CALCIFORTE 500 mg, solution buvable en ampoule édulcorée au cyclamate de sodium et à la saccharine sodique
0;DANTRIUM 100 mg, gélule
0;CAPTOPRIL BIOGARAN 25 mg, comprimé quadrisécable
0;PEGASYS 135 microgrammes, solution injectable en stylo prérempli
0;REBETOL 200 mg, gélule
0;ALFUZOSINE BIOGARAN L.P. 10 mg, comprimé pelliculé à libération prolongée
0;BIOCALYPTOL, sirop
0;NICORANDIL ALMUS 10 mg, comprimé sécable
0;ALTEIS 40 mg, comprimé pelliculé
0;VICKS EXPECTORANT AMBROXOL 30 mg, comprimé sécable
1;BÊTA-ESTRADIOL|2,50 mg;ESTRAPATCH 80 microgrammes/24 heures, dispositif transdermique
0;ARIPIPRAZOLE FOCUS 5 mg, comprimé
0;ORACEFAL 250 mg/5 ml, poudre pour suspension buvable
1;PÉRINDOPRIL|6,79 mg;PERINDOPRIL ARGININE/INDAPAMIDE SERVIER 10 mg/2,5 mg, comprimé pelliculé
0;PREGABALINE SANDOZ GMBH 25 mg, gélule
0;MIDAZOLAM SANDOZ 1 mg/ml, solution injectable
0;ALBUMINE HUMAINE BAXTER BIOSCIENCE 200 g/l, solution pour perfusion
0;OXOMEMAZINE ARROW 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique
1;PÉRINDOPRIL|3,339 mg;PERINDOPRIL ZYDUS 4 mg, comprimé sécable
0;ELIQUIS 2,5 mg, comprimé pelliculé
1;ZOFÉNOPRIL|28,7 mg;TEOULA 30 mg, comprimé pelliculé
2;MANGANÈSE|3,7 mg;CUIVRE|4,2 mg;OLIGOCURE, solution buvable
0;SULFUR BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;AMOXICILLINE ANHYDRE|500,00 mg;AMOXICILLINE TEVA 500 mg/5 ml, poudre pour suspension buvable en flacon
1;SERTRALINE BASE|25 mg;SERTRALINE BIOGARAN 25 mg, gélule
0;DILATRANE 100 mg, gélule à libération prolongée
0;ANSATIPINE 150 mg, gélule
0;OXYGENE MEDICINAL AIR PRODUCTS MEDICAL 200 bar, gaz pour inhalation, en bouteille
1;LOSARTAN|45,76 mg;LOSARTAN/HYDROCHLOROTHIAZIDE KRKA 50 mg/12,5 mg, comprimé pelliculé
0;OLANZAPINE BIOGARAN 7,5 mg, comprimé enrobé
0;BRINZOLAMIDE BIOGARAN 10 mg/ml, collyre en suspension
1;CISATRACURIUM|5 mg;CISATRACURIUM HOSPIRA 5 mg/ml, solution injectable/pour perfusion
0;MICARDIS 20 mg, comprimé
0;FINASTERIDE ARROW 1 mg, comprimé pelliculé
0;MODAFINIL MYLAN 100 mg, comprimé
0;VALSARTAN ZYDUS 40 mg, comprimé pelliculé sécable
0;TRIGLISTAB, capsule molle
0;LIDOCAINE/PRILOCAINE BIOGARAN 5 %, pansement adhésif cutané
0;DOMPERIDONE TEVA 10 mg, comprimé pelliculé
0;PRAVASTATINE ALMUS 40 mg, comprimé
0;VYTORIN 10 mg/20 mg, comprimé
0;MERCURIUS DULCIS BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
1;DICLOFÉNAC SODIQUE|1 g;DICLOFENAC ARROW GENERIQUES 1 %, gel
0;EBASTINE BIOGARAN 10 mg, comprimé orodispersible
0;LACRYVISC, gel ophtalmique en récipient unidose
1;IXAZOMIB|4 mg;NINLARO 4,0 mg, gélule
0;LONOTEN 5 mg, comprimé sécable
0;LERCANIDIPINE RANBAXY 20 mg, comprimé pelliculé sécable
1;TAMSULOSINE|0,357 mg;OMIX LP 0,4 mg, microgranules à libération prolongée en gélule
0;GALENE WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH
0;ARTEX 5 mg, comprimé enrobé sécable
1;BOSENTAN|125 mg;BOSENTAN MYLAN 125 mg, comprimé pelliculé
0;ACICLOVIR RATIOPHARM 5 %, crème
1;TAFAMIDIS|12,2 mg;VYNDAQEL 20 mg, capsule molle
0;TOPIRAMATE BIOGARAN 50 mg, comprimé pelliculé
0;CODOTUSSYL EXPECTORANT ACETYLCYSTEINE 100 mg, comprimé à sucer
0;BECLOMETASONE TEVA 800 microgrammes/ 2 ml, suspension pour inhalation par nébuliseur en récipient unidose
0;PIROXICAM ZYDUS 20 mg, gélule
0;MIGRALGINE, gélule
0;LOSARTAN EVOLUGEN 100 mg, comprimé pelliculé
0;ESTERS ETHYLIQUES D'ACIDES OMEGA 3 EG LABO CONSEIL 1 g, capsule molle
0;GAMMAGARD 50 mg/ml, poudre et solvant pour solution pour perfusion
1;IMIDAPRIL BASE|9,2 mg;TANATRIL 10 mg, comprimé sécable
0;MYOVIEW 230 microgrammes. Trousse radiopharmaceutique
2;CHLORHYDRATE DE BUPIVACAÏNE ANHYDRE|5,000 mg;ADRÉNALINE|0,0050 mg;BUPIVACAINE AGUETTANT 5 mg/mL ADRENALINE, solution injectable
0;PAMIDRONATE DE SODIUM HOSPIRA 6 mg/ml, solution à diluer pour perfusion
0;OLANZAPINE CRISTERS 10 mg, comprimé enrobé
0;FOSINOPRIL CRISTERS 10 mg, comprimé sécable
0;EBASTINE ARROW 10 mg, comprimé pelliculé
1;DICLOFÉNAC SODIQUE|1 g;DICLOFENAC ARROW 1 %, gel en flacon pressurisé
0;PARACETAMOL TEVA 500 mg, poudre pour solution buvable en sachet-dose
0;SIMVASTATINE SANDOZ 20 mg, comprimé pelliculé sécable
1;ÉRYTHROMYCINE BASE|1 g;ERYTHROCINE 1 g I.V., lyophilisat pour préparation injectable
1;RISÉDRONATE MONOSODIQUE ANHYDRE|35 mg;RISEDRONATE BIOGARAN 35 mg, comprimé pelliculé
0;THIOCOLCHICOSIDE QUIVER 4 mg, comprimé
0;LERCANIDIPINE BOUCHARA RECORDATI 10 mg, comprimé pelliculé sécable
0;BICALUTAMIDE TEVA 50 mg, comprimé pelliculé
0;TERGYNAN, comprimé vaginal
0;TRINITRINE MYLAN 10 mg/24 heures, dispositif transdermique
0;VALSARTAN SANDOZ 160 mg, comprimé pelliculé
1;AMOXICILLINE ANHYDRE|250 mg;AMODEX 250 mg/5 ml, poudre pour suspension buvable
1;FENTANYL|600 microgrammes;BREAKYL 600 microgrammes, film orodispersible
0;ENBREL 10 mg, poudre et solvant pour solution injectable pour usage pédiatrique
1;AZITHROMYCINE|40 mg;ZITHROMAX 40 mg/ml ENFANTS, poudre pour suspension buvable
1;ESCITALOPRAM|20 mg;ESCITALOPRAM RANBAXY 20 mg, comprimé pelliculé sécable
0;ATENOLOL EVOLUGEN 100 mg, comprimé pelliculé sécable
0;BENLYSTA 120 mg, poudre pour solution à diluer pour perfusion
1;ATORVASTATINE|80 mg;ATORVASTATINE ZYDUS FRANCE 80 mg, comprimé pelliculé
2;MAGNÉSIUM (ACÉTATE DE)|0,0426 g;CALCIUM (ACÉTATE DE)|0,0237 g;TOTAMINE CONCENTRE, solution pour perfusion
0;BALSOLENE, solution pour inhalation par fumigation
0;METHOTREXATE BIODIM 25 mg/1mL, solution injectable
1;CIPROFLOXACINE|500 mg;CIPROFLOXACINE EG 500 mg, comprimé pelliculé
1;GALANTAMINE|8 mg;GALANTAMINE ZYDUS LP 8 mg, gélule à libération prolongée
1;ÉSOMÉPRAZOLE|20 mg;ESOMEPRAZOLE PHR 20 mg, gélule gastro-résistante
0;NORVIR 100 mg, comprimé pelliculé
1;TIAGABINE ANHYDRE|15 mg;GABITRIL 15 mg, comprimé pelliculé
1;GRANISÉTRON BASE|3,00 mg;KYTRIL 3 mg/3 ml, solution injectable
1;ROSUVASTATINE|10 mg;ROSUVASTATINE ALTER 10 mg, comprimé pelliculé
0;PERCUTALGINE, gel
1;MAGALDRATE ANHYDRE|800 mg;RIOPAN 800 mg, comprimé à croquer
0;RAMIPRIL MYLAN 1,25 mg, comprimé
2;CALCIPOTRIOL|50 microgrammes;BÉTAMÉTHASONE|0,5 mg;DAIVOBET 50 microgrammes/0,5 mg/g, gel
0;TROBALT 50 mg, comprimé pelliculé, étui d'instauration de traitement
0;EDETATE DE CHROME (51Cr) GE HEALTHCARE 3,7 MBq/mL, solution injectable
0;TOXICARB, suspension buvable
0;SELEXID 200 mg, comprimé pelliculé
0;ZOLPIDEM SANDOZ 10 mg, comprimé pelliculé sécable
0;HYPERICUM PERFORATUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;DOLIPRANE 1000 mg, poudre pour solution buvable en sachet-dose
0;FLUTIFORM 50 microgrammes/5 microgrammes par dose, suspension pour inhalation en flacon pressurisé
0;NATRUM CARBONICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;CATACOL 0,1 POUR CENT, collyre
1;TERLIPRESSINE|0,85 mg;VARIQUEL 0,2 mg/mL, solution injectable
0;LOVENOX 10 000 UI (100 mg)/1 ml, solution injectable en seringue préremplie
0;ATACAND 16 mg, comprimé sécable
1;ADRÉNALINE|0,018 mg;PREDESIC ADRENALINE 1/100 000, solution injectable à usage dentaire
2;AMLODIPINE|5 mg;PÉRINDOPRIL|3,3 mg;PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE EG 4 mg/5 mg, comprimé
0;FLECAINIDE TEVA LP 150 mg, gélule à libération prolongée
0;TANGANIL 500 mg, comprimé
0;LAMOTRIGINE ARROW 100 mg, comprimé dispersible
0;GLIBENCLAMIDE ARROW 5 mg, comprimé sécable
1;LANRÉOTIDE BASE|90 mg;SOMATULINE L.P. 90 mg, solution injectable à libération prolongée en seringue préremplie
0;TERCIAN 50 mg/5 ml, solution injectable en ampoule
2;ACIDE ALENDRONIQUE|70 mg;CHOLÉCALCIFÉROL|140 microgrammes (5 600 UI);ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/5600 UI, comprimé
1;MONTÉLUKAST|4 mg;MONTELUKAST KRKA 4 mg, comprimé à croquer
0;DESLORATADINE GNR 5 mg, comprimé pelliculé
0;OLANZAPINE RANBAXY 5 mg, comprimé orodispersible
1;AMLODIPINE|5 mg;SEVIKAR 40 mg/5 mg, comprimé pelliculé
0;TRANSLARNA 125 mg, granulés pour suspension buvable
1;ERLOTINIB|150 mg;TARCEVA 150 mg, comprimé pelliculé
1;ESCITALOPRAM|20 mg;ESCITALOPRAM BROWN & BURK 20 mg, comprimé pelliculé sécable
0;CETIRIZINE CRISTERS CONSEIL 10 mg, comprimé pelliculé sécable
1;DEXAMÉTHASONE (PHOSPHATE DE)|4 mg;DEXAMETHASONE MYLAN 4 mg/1 ml, solution injectable en ampoule
0;LETROZOLE ZYDUS 2,5 mg, comprimé pelliculé
0;GESTODENE/ETHINYLESTRADIOL ZENTIVA 60 microgrammes/15 microgrammes, comprimé pelliculé
0;INNOVAIR NEXTHALER 100 microgrammes/6 microgrammes par dose, poudre pour inhalation
0;LATANOPROST MYLAN PHARMA 0,005 %, collyre en solution
0;KALYDECO 150 mg, comprimé pelliculé
0;KESTIN 10 mg, comprimé pelliculé
1;LYSINE|2,03 g;AMINOPLASMAL 8, solution pour perfusion
1;LISINOPRIL ANHYDRE|20 mg;LISINOPRIL/HYDROCHLOROTHIAZIDE RATIOPHARM 20 mg/12,5 mg, comprimé sécable
0;TEUCRIUM SCORODONIA WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
0;CLARITHROMYCINE MYLAN 500 mg, comprimé pelliculé à libération modifiée
1;DICLOFÉNAC SODIQUE|1 g;DICLOFENAC MYLAN 1%, gel
1;BÉCLOMÉTASONE BASE|78,5 microgrammes;MIFLASONE 100 microgrammes, poudre pour inhalation en gélule
0;HYDROSOL POLYVITAMINE PHARMADEVELOPPEMENT, solution buvable en gouttes
0;ARTANE 5 mg, comprimé
1;LOPÉRAMIDE BASE|1,86 mg;DIARETYL 2 mg, gélule
0;DOLIPRANE 1000 mg, comprimé
0;RISPERIDONE SANDOZ 4 mg, comprimé orodispersible
1;MONTÉLUKAST|5 mg;MONTELUKAST ZYDUS 5 mg, comprimé à croquer
0;EFFERALGANMED 80 mg, suppositoire
0;FIBROVEIN 1 %, solution injectable
1;PROCARBAZINE|50,0 mg;NATULAN 50 mg, gélule
0;SOTALOL SANDOZ 160 mg, comprimé sécable
0;MULTICROM UNIDOSES 2 POUR CENT, collyre en récipient unidose
0;VACCIN BCG AJVaccines, poudre et solvant pour suspension injectable
0;PUREGON 50 UI/0,5 ml, solution injectable
0;TRANXENE 20 mg, gélule
0;CLARITHROMYCINE TEVA 500 mg, comprimé pelliculé à libération modifiée
1;CIPROFLOXACINE|250 mg;CIPROFLOXACINE ZYDUS 250 mg, comprimé pelliculé
0;CIFLOX 400 mg/200 mL, solution pour perfusion (IV)
1;LÉVOBUPIVACAÏNE|5 mg;LEVOBUPIVACAINE KABI 5 mg/ml, solution injectable/pour perfusion
0;CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé
0;BISOPROLOL TEVA SANTE 10 mg, comprimé sécable
1;CHLORHYDRATE DE DONÉPÉZIL|5 mg;DONEPEZIL BIOGARAN 5 mg, comprimé pelliculé
0;ARZERRA 100 mg, solution à diluer pour perfusion
0;SIMVASTATINE TEVA 20 mg, comprimé pelliculé sécable
1;BENSÉRAZIDE BASE|50,00 mg;LEVODOPA BENSERAZIDE TEVA 200 mg/50 mg, gélule
1;PIXANTRONE|29 mg;PIXUVRI 29 mg, poudre pour solution à diluer pour perfusion
0;BETADINE DERMIQUE 10 %, solution pour application cutanée en récipient unidose
1;INDACATÉROL|0,150 mg;OSLIF BREEZHALER 150 microgrammes, poudre pour inhalation en gélule
1;MAGNÉSIUM|0,1044 mg;MAGNESIUM OLIGOSOL, solution buvable en ampoule
2;CLAVULANIQUE (ACIDE)|12,5 mg;AMOXICILLINE ANHYDRE|100 mg;AMOXICILLINE ACIDE CLAVULANIQUE ZYDUS FRANCE 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique: 8/1)
0;DIGESTODORON, solution buvable en gouttes
0;DUTASTERIDE EG 0,5 mg, capsule molle
0;ALKERAN 2 mg, comprimé pelliculé
0;FLIXOVATE 0,005 %, pommade
0;MESNA EG 100 mg/ml, solution injectable pour perfusion
0;BAMBUSA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;REFACTO AF 250 UI, poudre et solvant pour solution injectable en seringue préremplie
0;BECLOMETASONE TEVA 250 microgrammes/dose, solution pour inhalation en flacon pressurisé
0;ZOPICLONE SANDOZ 7,5 mg, comprimé pelliculé sécable
0;CANDESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 16 mg/12,5 mg, comprimé
1;RUPATADINE|10 mg;WYSTAMM 10 mg, comprimé
0;PREGABALINE PFIZER 150 mg, gélule
0;MANIDIPINE SANDOZ 20 mg, comprimé
0;TADALAFIL BIOGARAN 20 mg, comprimé pelliculé
0;DOMPERIDONE ALMUS 10 mg, comprimé pelliculé
0;PROPOFOL LIPURO 1 % (10 mg/ml), émulsion injectable ou pour perfusion
3;COBALT|0,0726 mg;MANGANÈSE|0,0728 mg;CUIVRE|0,0726 mg;MANGANESE-CUIVRE-COBALT OLIGOSOL, solution buvable en ampoule
1;TIROFIBAN|250 microgrammes;AGRASTAT 250 microgrammes/ml, solution à diluer pour perfusion
0;INNOHEP 2 500 UI anti-Xa/0,25 ml, solution injectable en seringue préremplie
0;TESTOPATCH 1,8 mg/24 heures, dispositif transdermique
0;LORATADINE MYLAN 10 mg, comprimé pelliculé
0;CELECOXIB MYLAN PHARMA 100 mg, gélule
0;INDAPAMIDE EG LP 1,5 mg, comprimé pelliculé à libération prolongée
0;STREPSILS MIEL CITRON, pastille à sucer
1;SILDÉNAFIL|50 mg;SILDENAFIL EG 50 mg, comprimé pelliculé
0;IBUPROFENE ACTAVIS 400 mg, comprimé pelliculé
1;MÉMANTINE|8,31 mg;MEMANTINE BIOGARAN 10 mg, comprimé pelliculé sécable
0;DESLORATADINE ALMUS 5 mg, comprimé pelliculé
0;ONCTOSE, crème
1;DIGLUCONATE DE CHLORHEXIDINE|0,2 g;ELUDRILPERIO 0,2 %, solution pour bain de bouche
1;AZITHROMYCINE|250 mg;ZITHROMAX 250mg, comprimé pelliculé
0;GABAPENTINE BIOGARAN 800 mg, comprimé pelliculé
0;LORATADINE RANBAXY 10 mg, comprimé
1;PÉRINDOPRIL|3,338 mg;PERINDOPRIL PHR LAB 4 mg, comprimé sécable
0;HUMEX ALLERGIE LORATADINE 10 mg, comprimé
0;BETAHISTINE RPG 8 mg, comprimé
0;LEVODOPA/CARBIDOPA/ENTACAPONE ARROW 50 mg/12,5 mg/200 mg, comprimé pelliculé
1;RANITIDINE BASE|300 mg;RANITIDINE MYLAN 300 mg, comprimé pelliculé
0;CETIRIZINE SANDOZ 10 mg, comprimé pelliculé sécable
0;PARACETAMOL B BRAUN 10 mg/ml, solution pour perfusion
2;GLUCOSE ANHYDRE|42,5 g;LACTATE DE SODIUM ANHYDRE|3,925 g;SOLUTION PRETE A L'EMPLOI D P C A 3 FRESENIUS, solution pour dialyse péritonéale
0;EUPHRASIA 3DH WELEDA, collyre en solution en récipient unidose
0;MYLOTARG 5 mg, poudre pour solution à diluer pour perfusion
0;VALSARTAN ZENTIVA 40 mg, comprimé pelliculé sécable
0;FURADANTINE 50 mg, gélule
0;RISPERIDONE EG 2 mg, comprimé orodispersible
0;GRAFALON 20 mg/ml, solution à diluer pour perfusion
0;WILSTART, poudres et solvants pour solution injectable
0;CUPRESSUS SEMPERVIRENS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;VIOLA TRICOLOR BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;MORPHINE (CHLORHYDRATE) AGUETTANT 20 mg/ml, solution injectable
1;CHLORHYDRATE DE LIDOCAÏNE ANHYDRE|5,00 mg;LIDOCAINE AGUETTANT 5 mg/ml SANS CONSERVATEUR, solution injectable
0;TRAMADOL/PARACETAMOL MYLAN GENERIQUES 37,5 mg/325 mg, comprimé pelliculé
0;TRINITRINE MYLAN 5 mg/24 heures, dispositif transdermique
1;BÊTA-ESTRADIOL|1 mg;ESTROFEM 1 mg, comprimé pelliculé
0;LACTINETTE 75 microgrammes, comprimé pelliculé
0;DILTIAZEM RPG 60 mg, comprimé
0;ESCHSCHOLTZIA CALIFORNICA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;KEPPRA 100 mg/ml, solution à diluer pour perfusion
1;URAPIDIL|5 mg;EUPRESSYL 100 mg/20 ml, solution injectable
1;PAROXÉTINE BASE|20 mg;DEROXAT 20 mg, comprimé pelliculé sécable
0;BOLDO LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;TADALAFIL TEVA 20 mg, comprimé pelliculé sécable
0;TAMIK, capsule
0;EMLAPATCH 5 POUR CENT, pansement adhésif cutané
1;ATORVASTATINE|20 mg;ATORVASTATINE RANBAXY 20 mg, comprimé pelliculé
0;ELUSANES HARPAGOPHYTON, gélule
0;ANTIMONIUM SULFURATUM AUREUM WELEDA, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
0;ACETYLCYSTEINE TEVA CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose
0;ZOLMITRIPTAN EVOLUGEN 2,5 mg, comprimé pelliculé
0;ETHINYLESTRADIOL/DROSPIRENONE BIOGARANCONTINU 0,02 mg/3 mg, comprimé pelliculé
1;PRAMIPEXOLE BASE|1,05 mg;OPRYMEA 1,05 mg, comprimé à libération prolongée
0;PULPARTHROL, solution pour usage dentaire
0;ACICLOVIR ZENTIVA 200 mg, comprimé
0;SPAGULAX SANS SUCRE, poudre effervescente pour suspension buvable en sachet-dose
0;ABILIFY 15 mg, comprimé
