gélule;1;CÉLÉCOXIB;CELECOXIB ZYDUS 100 mg, gélule
solution pour dialyse péritonéale;5;CHLORURE DE SODIUM;CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ;GLUCOSE MONOHYDRATÉ;SODIUM (LACTATE DE), SOLUTION DE;CHLORURE DE CALCIUM DIHYDRATÉ;DIALYSE PERITONEALE CONTINUE AMBULATOIRE 3, solution pour dialyse péritonéale
comprimé pelliculé;1;VIGABATRINE;SABRIL 500 mg, comprimé pelliculé
gélule;1;CIPROFIBRATE;CIPROFIBRATE ARROW 100 mg, gélule
comprimé pelliculé;1;FUMARATE DE TÉNOFOVIR DISOPROXIL;VIREAD 123 mg, comprimé pelliculé
comprimé;1;NILUTAMIDE;ANANDRON 150 mg, comprimé
solution;1;DESMOPRESSINE (ACÉTATE DE) TRIHYDRATÉ;MINIRIN SPRAY 10 microgrammes par dose, solution endonasale en flacon pulvérisateur
crème;1;ACICLOVIR;ACICLOVIR TEVA SANTE 5 %, crème
 comprimé et solution(s) et granules et poudre et pommade;1;HYDRASTIS CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES;HYDRASTIS CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;2;HYDROCHLOROTHIAZIDE;TELMISARTAN;TELMISARTAN/HYDROCHLOROTHIAZIDE TEVA SANTE 80 mg/25 mg, comprimé
solution buvable;1;CHLORHYDRATE DE FLUOXÉTINE;PROZAC 20 mg/5 ml, solution buvable en flacon
solution pour bain de bouche;2;CHLOROBUTANOL HÉMIHYDRATÉ;CHLORHEXIDINE (DIGLUCONATE DE), SOLUTION DE;CHLORHEXIDINE/CHLOROBUTANOL PHR LAB 0,5 ml/0,5 g pour 100 ml, solution pour bain de bouche en flacon
granulés pour suspension buvable;1;JOSAMYCINE (PROPIONATE DE);JOSACINE 500 mg/5 ml, granulés pour suspension buvable
comprimé pelliculé;1;D,L-HYDROGÉNOMALATE D'ALMOTRIPTAN;ALMOTRIPTAN MYLAN 12,5 mg, comprimé pelliculé
gélule;1;BÉSILATE D'AMLODIPINE;AMLODIPINE ARROW GENERIQUES 10 mg, gélule
comprimé;2;ÉZÉTIMIBE;SIMVASTATINE;EZETIMIBE/SIMVASTATINE TEVA 10 mg/40 mg, comprimé
comprimé;1;ACIDE-D-(MÉTHOXY-6 ALPHA-MÉTHYL NAPHTALÈNEACÉTIQUE-2);NAPROSYNE 500 mg, comprimé
suspension;1;BÉTAXOLOL (CHLORHYDRATE DE);BETOPTIC 0,25 POUR CENT, suspension ophtalmique en récipient unidose
comprimé quadrisécable;1;BROMAZÉPAM;BROMAZEPAM RATIOPHARM 6 mg, comprimé quadrisécable
solution injectable;1;INTERFÉRON BÊTA-1A ;REBIF 44 microgrammes, solution injectable en stylo prérempli
comprimé sécable;1;CHLORHYDRATE DE TERBINAFINE;TERBINAFINE RPG 250 mg, comprimé sécable
comprimé pelliculé;1;DIOSMINE;DIOSMINE SANDOZ CONSEIL 300 mg, comprimé pelliculé
comprimé pelliculé;1;MONTÉLUKAST SODIQUE;SINGULAIR 10 mg, comprimé pelliculé
gélule;1;CITRATE D'IXAZOMIB;NINLARO 4,0 mg, gélule
gélule;1;FÉNOFIBRATE;FENOFIBRATE FOURNIER 67 Micronisé, gélule
comprimé pelliculé;1;GABAPENTINE;GABAPENTINE ARROW GENERIQUES 600 mg, comprimé pelliculé sécable
solution injectable;1;FOLLITROPINE ALFA ;GONAL-F 300 UI/0,5 ml (22 microgrammes/0,5 ml), solution injectable en stylo prérempli
solution pour perfusion;1;INSULINE HUMAINE RECOMBINANTE NEUTRE ;INSUMAN IMPLANTABLE 400 UI/ml, solution pour perfusion
 comprimé et solution(s) et granules et poudre et pommade;1;ANGELICA ARCHANGELICA POUR PRÉPARATIONS HOMÉOPATHIQUES;ANGELICA ARCHANGELICA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;IRBÉSARTAN;IRBESARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 300 mg/25 mg, comprimé pelliculé
comprimé pelliculé sécable;1;DOMPÉRIDONE;DOMPERIDONE EG 20 mg, comprimé pelliculé sécable.
poudre effervescent(e) pour solution buvable;1;PARACÉTAMOL;EFFERALGANMED 150 mg, poudre effervescente pour solution buvable en sachet
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;HÉMIFUMARATE D'ALISKIRÈNE;RASILEZ HCT 300 mg/25 mg, comprimé pelliculé
comprimé dispersible;1;DIOSMINE;DIO 600 mg, comprimé dispersible
comprimé;2;HYDROCHLOROTHIAZIDE;TELMISARTAN;TELMISARTAN/HYDROCHLOROTHIAZIDE ZENTIVA 40 mg/12,5 mg, comprimé
comprimé pelliculé;1;CHLORHYDRATE DE ROPINIROLE;ROPINIROLE ARROW GENERIQUES 0,50 mg, comprimé pelliculé
comprimé pelliculé;1;CLARITHROMYCINE;CLARITHROMYCINE EG 500 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;AMMONIUM PHOSPHORICUM  POUR PRÉPARATIONS HOMÉOPATHIQUES;AMMONIUM PHOSPHORICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
émulsion fluide pour application;1;HYDROCORTISONE (BUTYRATE D');LOCOID 0,1 POUR CENT, émulsion fluide pour application locale
solution injectable;2;CHLORHYDRATE DE LIDOCAÏNE;TARTRATE D'ADRÉNALINE;XYLOCAINE 20 mg/ml ADRENALINE 0,005 mg/ml, solution injectable
dispositif;1;FENTANYL;FENTANYL MYLAN 50 microgrammes/heure, dispositif transdermique
comprimé pelliculé sécable;1;CHLORHYDRATE DE CÉLIPROLOL;CELIPROLOL EG 200 mg, comprimé pelliculé sécable
granules et  poudre et  solution en gouttes en gouttes;1;KALIUM MURIATICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;KALIUM MURIATICUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution injectable;1;MÉTHOTREXATE;NORDIMET 20 mg, solution injectable en stylo prérempli
poudre pour solution à diluer pour perfusion;1;TRASTUZUMAB ;KANJINTI 420 mg, poudre pour solution à diluer pour perfusion
 comprimé et solution(s) et granules et poudre et pommade;1;PULSATILLA POUR PRÉPARATIONS HOMÉOPATHIQUES;PULSATILLA LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
pommade;5;PHÉNOL;PHÉNAZONE;BAUME DU PÉROU;OXYDE DE ZINC;SALICYLATE DE SODIUM;BRULEX, pommade
comprimé pelliculé;3;LÉVODOPA;CARBIDOPA MONOHYDRATÉE;ENTACAPONE;STALEVO 100 mg/25 mg/200 mg, comprimé pelliculé
suspension injectable;1;INSULINE HUMAINE RECOMBINANTE ISOPHANE ;INSULATARD FLEXPEN 100 unités internationales/ml, suspension injectable en stylo prérempli
comprimé pelliculé;1;ATORVASTATINE CALCIQUE;ATORVASTATINE TEVA SANTE 10 mg, comprimé pelliculé
suspension buvable;1;DOMPÉRIDONE;DOMPERIDONE ARROW 1 mg/ml, suspension buvable
poudre pour solution buvable;1;PARACÉTAMOL;PARACETAMOL TEVA 500 mg, poudre pour solution buvable en sachet-dose
dispositif;1;BÊTA-ESTRADIOL HÉMIHYDRATÉ;DERMESTRIL SEPTEM 75 microgrammes/24 heures, dispositif transdermique
dispositif;1;RIVASTIGMINE;RIVASTIGMINE MYLAN PHARMA 4,6 mg/24 heures, dispositif transdermique
comprimé pelliculé;1;CEFPODOXIME PROXÉTIL;CEFPODOXIME TEVA 100 mg, comprimé pelliculé
suspension buvable à diluer;1;SULFATE DE BARYUM;MICROPAQUE SCANNER, suspension buvable à diluer
solution;1;PRÉGABALINE;LYRICA 20 mg/ml, solution buvable
comprimé pelliculé;1;ATORVASTATINE CALCIQUE;ATORVASTATINE ACCORD 20 mg, comprimé pelliculé
gélule gastro-résistant(e);1;LANSOPRAZOLE;LANSOPRAZOLE TEVA SANTE 30 mg, gélule gastro-résistante
solution injectable;1;CHLORHYDRATE DE ROPIVACAÏNE;ROPIVACAINE MYLAN 7,5 mg/ml, solution injectable en ampoule
comprimé à libération prolongée;2;LÉVODOPA;CARBIDOPA MONOHYDRATÉE;LEVODOPA CARBIDOPA TEVA LP 200 mg/50 mg, comprimé à libération prolongée
solution pour perfusion;1;GLUCOSE MONOHYDRATÉ;GLUCOSE 15 % MACOPHARMA, solution pour perfusion
poudre pour solution à diluer pour perfusion;1;GANCICLOVIR SODIQUE;CYMEVAN 500 mg, poudre pour solution à diluer pour perfusion
comprimé pelliculé;1;CHLORHYDRATE DE METFORMINE;METFORMINE CRISTERS 500 mg, comprimé pelliculé
lyophilisat;1;DESMOPRESSINE (ACÉTATE DE) TRIHYDRATÉ;MINIRINMELT 240 microgrammes, lyophilisat oral
comprimé pelliculé;1;AXITINIB;INLYTA 5 mg, comprimé pelliculé
comprimé;2;PÉRINDOPRIL TERT-BUTYLAMINE;BÉSILATE D'AMLODIPINE;PERINDOPRIL/AMLODIPINE HCS 4 mg/10 mg, comprimé
gélule;1;PRÉGABALINE;PREGABALINE ZENTIVA K.S. 100 mg, gélule
 comprimé et solution(s) et granules et poudre et pommade;1;CAUSTICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;CAUSTICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;1;RAMIPRIL;TRIATEC 5 mg, comprimé sécable
granulés enrobé;1;LÉVÉTIRACÉTAM;LEVIDCEN 1000 mg, granulés enrobés en sachet
gel;1;CARBOMÈRE 974P;GEL LARMES, gel ophtalmique
poudre pour usage parentéral;1;FOLINATE DE CALCIUM;FOLINATE DE CALCIUM ZENTIVA 50 mg, lyophilisat pour usage parentéral
gélule;1;CHLORHYDRATE DE FLUOXÉTINE;FLUOXETINE ACCORD 20 mg, gélule
poudre pour solution pour perfusion;1;VORICONAZOLE;VORICONAZOLE SANDOZ 200 mg, poudre pour solution pour perfusion
comprimé pelliculé;1;CARBONATE DE SÉVÉLAMER;SEVELAMER CARBONATE SANDOZ 800 mg, comprimé pelliculé
comprimé à sucer;3;HYDROXYDE D'ALUMINIUM;HYDROXYDE DE MAGNÉSIUM;CARBONATE DE CALCIUM;MARGA, comprimé à sucer
gélule à libération prolongée;1;CHLORHYDRATE DE VENLAFAXINE;VENLAFAXINE EG LP 75 mg, gélule à libération prolongée
gélule;1;CÉFADROXIL MONOHYDRATÉ;CEFADROXIL SANDOZ 500 mg, gélule
comprimé pelliculé;1;JOSAMYCINE;JOSACINE 500 mg, comprimé pelliculé
comprimé pelliculé sécable;1;VALSARTAN;VALSARTAN KRKA 40 mg, comprimé pelliculé sécable
comprimé;2;CAFÉINE;ERGOTAMINE (TARTRATE D');GYNERGENE CAFEINE, comprimé
comprimé;1;ARIPIPRAZOLE;ARIPIPRAZOLE TEVA 10 mg, comprimé
comprimé effervescent(e);1;CHLORHYDRATE DE TRAMADOL;ZUMALGIC 50 mg, comprimé effervescent
comprimé pelliculé sécable;1;BROMHYDRATE DE CITALOPRAM;CITALOPRAM MYLAN 20 mg, comprimé pelliculé sécable
comprimé sécable;1;ALPRAZOLAM;ALPRAZOLAM MYLAN 0,50 mg, comprimé sécable
comprimé enrobé;1;DOSULÉPINE (CHLORHYDRATE DE);PROTHIADEN 75 mg, comprimé enrobé
dispositif;1;NICOTINE;NICOPATCH 14 mg/24 h, dispositif transdermique
 crème et solution et granules et poudre;1;LOBELIA INFLATA POUR PRÉPARATIONS HOMÉOPATHIQUES;LOBELIA INFLATA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule;1;FÉNOFIBRATE;FENOFIBRATE EG 200 mg, gélule
comprimé;1;TELMISARTAN;PRITOR 80 mg, comprimé
collutoire;1;DIGLUCONATE DE CHLORHEXIDINE;GLUCONATE DE CHLORHEXIDINE DEXO 0,11 POUR CENT, collutoire en flacon pressurisé
solution injectable;1;SARILUMAB ;KEVZARA 150 mg,solution injectable en stylo prérempli
solution buvable;1;OXOMÉMAZINE;OXOMEMAZINE SANDOZ CONSEIL 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique
solution pour perfusion;1;BICARBONATE DE SODIUM;BICARBONATE DE SODIUM LAVOISIER 1,4 POUR CENT, solution pour perfusion
comprimé sécable;1;MÉSILATE DE BROMOCRIPTINE;BROMOCRIPTINE ZENTIVA 2,5 mg, comprimé sécable
comprimé sécable;1;RAMIPRIL;RAMIPRIL RPG 5 mg, comprimé sécable
solution injectable;1;CHLORHYDRATE DE PRILOCAÏNE;BARITEKAL 20 mg/ml, solution injectable
poudre pour suspension buvable;1;CARBONATE DE SÉVÉLAMER;RENVELA 2,4 g, poudre pour suspension buvable
sirop;1;CITRATE DE PENTOXYVÉRINE;VICKS SIROP PECTORAL 0,15 %, sirop
poudre pour solution buvable;1;TETRAKIS(HYDROXYMETHYL)METHANE;AUXITRANS 5 g, poudre pour solution buvable en sachet-dose
emplâtre médicamenteux(se);1;DICLOFÉNAC SODIQUE;VOLTARENPLAST 1 %, emplâtre médicamenteux
poudre pour solution pour perfusion;2;CILASTATINE SODIQUE;IMIPÉNEM MONOHYDRATÉ;IMIPENEM/CILASTATINE ARROW 250 mg/250 mg, poudre pour solution pour perfusion
poudre pour solution injectable;1;CEFTAZIDIME PENTAHYDRATÉE;CEFTAZIDIME PANMEDICA 1 g, poudre pour solution injectable
comprimé pelliculé sécable;1;BÉTAXOLOL (CHLORHYDRATE DE);BETAXOLOL EG 20 mg, comprimé pelliculé sécable
comprimé;1;ARIPIPRAZOLE;ARIPIPRAZOLE BGR 15 mg, comprimé
solution pour pulvérisation;2;BUTOXYDE DE PIPÉRONYLE;DÉPALLÉTHRINE;PARA SPECIAL POUX, solution pour application locale en flacon pressurisé
solution injectable;1;CHLORHYDRATE DE MORPHINE;MORPHINE (CHLORHYDRATE) AGUETTANT 40 mg/ml, solution injectable
vernis à ongles médicamenteux(se);1;CICLOPIROX;MYCONAIL 80 mg/g, vernis à ongles médicamenteux
gélule;1;AMOXICILLINE TRIHYDRATÉE;AMOXICILLINE MYLAN PHARMA 500 mg, gélule
comprimé sécable à libération prolongée;1;KÉTOPROFÈNE;KETOPROFENE ZENTIVA LP 100 mg, comprimé sécable à libération prolongée
 comprimé et solution(s) et granules et poudre et pommade;1;CHININUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;CHININUM SULFURICUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
comprimé effervescent(e);1;PARACÉTAMOL;PARACETAMOL SANDOZ 500 mg, comprimé effervescent
solution à diluer pour perfusion;1;CHLORHYDRATE DE MITOXANTRONE;MITOXANTRONE EBEWE 2 mg/ml, solution à diluer pour perfusion
comprimé sécable;1;CHLORHYDRATE DE SOTALOL;SOTALOL BIOGARAN 80 mg, comprimé sécable
gélule;1;PRÉGABALINE;PREGABALINE BIOGARAN 75 mg, gélule
comprimé pelliculé;1;CÉFUROXIME AXÉTIL;CEFUROXIME KRKA 250 mg, comprimé pelliculé
solution injectable;1;ASFOTASE ALFA ;STRENSIQ 100 mg/ml, solution injectable
solution à diluer pour perfusion;1;OXALIPLATINE;OXALIPLATINE ACCORD 5 mg/ml, solution à diluer pour perfusion
comprimé pelliculé sécable;1;LOSARTAN POTASSIQUE;LOSARTAN TORRENT 100 mg, comprimé pelliculé sécable
comprimé pelliculé;1;CHLORHYDRATE DE METFORMINE;METFORMINE BIOGARAN 850 mg, comprimé pelliculé
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;LOSARTAN POTASSIQUE;LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 50 mg/12,5 mg, comprimé pelliculé
gel;1;DICLOFÉNAC DE DIÉTHYLAMINE;DICLOFENAC URGO 1 %, gel
comprimé pelliculé;1;ACÉCLOFÉNAC;ACECLOFENAC ACCORD 100 mg, comprimé pelliculé
comprimé;1;CHLORHYDRATE DE BUPRÉNORPHINE;BUPRENORPHINE ARROW 1 mg, comprimé sublingual
comprimé pelliculé sécable;1;CHLORHYDRATE DE LERCANIDIPINE;LERCANIDIPINE ZENTIVA 10 mg, comprimé pelliculé sécable
comprimé pelliculé;1;MALÉATE DE TÉNOFOVIR DISOPROXIL;TENOFOVIR DISOPROXIL MYLAN 245 mg, comprimé pelliculé
gélule;1;HYDROGÉNOTARTRATE DE RIVASTIGMINE;RIVASTIGMINE MYLAN 1,5 mg, gélule
gélule;1;AMOXICILLINE TRIHYDRATÉE;CLAMOXYL 500 mg, gélule
poudre pour solution injectable;1;BENZOYL MERCAPTOACÉTYL TRIGLYCINE;TECHNESCAN MAG 3, poudre pour solution injectable
poudre pour solution à diluer pour perfusion;1;ACÉTATE DE CASPOFUNGINE ;CASPOFUNGINE EG 70 mg, poudre pour solution à diluer pour perfusion
solution injectable;1;SOMATROPINE ;NORDITROPINE NORDIFLEX 15 mg/1,5 ml, solution injectable en stylo prérempli
pommade;1;SODIUM (FUSIDATE DE);FUSIDATE DE SODIUM PIERRE FABRE 2 %, pommade
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;VALSARTAN;VALSARTAN HYDROCHLOROTHIAZIDE ZYDUS 160 mg/25 mg, comprimé pelliculé
comprimé;1;PÉRINDOPRIL TERT-BUTYLAMINE;PERINDOPRIL ARROW GENERIQUES 8 mg, comprimé
poudre et  solvant pour solution injectable;1;PRALIDOXIME (MÉTHYLSULFATE DE);CONTRATHION 2 POUR CENT, poudre et solvant pour solution injectable
comprimé à libération prolongée;1;PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATÉ;PRAMIPEXOLE SANDOZ LP 0,52 mg, comprimé à libération prolongée
 comprimé et solution(s) et granules et poudre et pommade;1;IPÉCA POUR PRÉPARATIONS HOMÉOPATHIQUES;IPECA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule;1;PRÉGABALINE;PREGABALINE EVOLUGEN 300 mg, gélule
poudre pour solution pour perfusion;1;CÉFUROXIME SODIQUE;CEFUROXIME MYLAN 750 mg, poudre pour solution injectable (IV) et suspension injectable (IM)
comprimé;1;OLANZAPINE;ZALASTA 5 mg, comprimé
gélule;1;MÉBÉVÉRINE (CHLORHYDRATE DE);DUSPATALIN 200 mg, gélule
gélule;1;ZINC (GLUCONATE DE);EFFIZINC 15 mg, gélule
collyre;1;PILOCARPINE (CHLORHYDRATE DE);ISOPTO PILOCARPINE 1 POUR CENT, collyre
comprimé;1;ACÉTYLSALICYLIQUE (ACIDE);ASPRO 320 mg, comprimé
comprimé pelliculé;1;ATORVASTATINE CALCIQUE;ATORVASTATINE ISOMED 20 mg, comprimé pelliculé
comprimé;1;GLIMÉPIRIDE;GLIMEPIRIDE EVOLUGEN 4 mg, comprimé
granulés pour solution buvable;1;VIGABATRINE;SABRIL 500 mg, granulés pour solution buvable en sachet-dose
solution injectable;3;TROPICAMIDE;CHLORHYDRATE DE PHÉNYLÉPHRINE;CHLORHYDRATE DE LIDOCAÏNE;MYDRANE 0,2 mg/ml + 3,1 mg/ml + 10 mg/ml, solution injectable
suspension injectable;1;CYTARABINE;DEPOCYTE 50 mg, suspension injectable
gélule à libération prolongée;1;CHLORHYDRATE DE VENLAFAXINE;VENLAFAXINE EVOLUGEN LP 75 mg, gélule à libération prolongée
comprimé enrobé;2;RIFAMPICINE;ISONIAZIDE;RIFINAH 300 mg/150 mg, comprimé enrobé
 comprimé et solution(s) et granules et poudre et pommade;1;ACETICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;ACETICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;1;DIHYDROGÉNOPHOSPHATE DE RILMÉNIDINE;RILMENIDINE CRISTERS 1 mg, comprimé
solution injectable;1;PALONOSÉTRON (CHLORHYDRATE DE);PALONOSETRON ACCORD 250 microgrammes, solution injectable
comprimé pelliculé sécable;1;CHLORHYDRATE DE MIANSÉRINE;MIANSERINE RATIOPHARM 30 mg, comprimé pelliculé sécable
plante(s) pour tisane en vrac;5;FEUILLE DE MÉLISSE;AUBÉPINE (SOMMITÉ FLEURIE D');TILLEUL (INFLORESCENCE DE);HOUBLON (CONE DE);PASSIFLORE;SANTANE N9, mélange de plantes pour tisane en vrac
 crème et solution et granules et poudre;1;AURUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;AURUM METALLICUM WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
comprimé pelliculé;1;IBUPROFÈNE;IBUPROFENE EG 400 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;1;PHÉNOBARBITAL SODIQUE;GARDENAL 200 mg/4 ml, poudre et solvant pour solution injectable
comprimé orodispersible;1;CHLORHYDRATE D'OXYCODONE;OXYNORMORO 5 mg, comprimé orodispersible
gélule;1;BÉSILATE D'AMLODIPINE;AMLODIPINE CRISTERS 5 mg, gélule
comprimé pelliculé;1;CLARITHROMYCINE;CLARITHROMYCINE RANBAXY 250 mg, comprimé pelliculé
granules et  pommade et  solution en gouttes en gouttes;1;CUPRUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;CUPRUM SULFURICUM WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
comprimé enrobé;1;IBUPROFÈNE;IBUPROFENE TEVA CONSEIL 200 mg, comprimé enrobé
comprimé sécable;1;PRAVASTATINE SODIQUE;PRAVASTATINE ARROW 20 mg, comprimé sécable
comprimé;2;PHÉNOBARBITAL;CAFÉINE;ALEPSAL 15 mg, comprimé
collutoire;3;LIDOCAÏNE;AMYLMÉTACRÉSOL;ALCOOL DICHLORO-2,4 BENZYLIQUE;STREPSILSPRAY à la lidocaïne, collutoire
comprimé pelliculé à libération prolongée;1;CHLORHYDRATE D'ALFUZOSINE;ALFUZOSINE EVOLUGEN LP 10 mg, comprimé pelliculé à libération prolongée
comprimé pelliculé;1;OXALATE D'ESCITALOPRAM;ESCITALOPRAM CRISTERS 5 mg, comprimé pelliculé
comprimé;1;RÉPAGLINIDE;REPAGLINIDE SANDOZ 1 mg, comprimé
comprimé pelliculé sécable;1;OXALATE D'ESCITALOPRAM;ESCITALOPRAM BROWN & BURK 15 mg, comprimé pelliculé sécable
solution buvable gouttes;1;AMITRIPTYLINE (CHLORHYDRATE D');LAROXYL 40 mg/ml, solution buvable
comprimé pelliculé;1;IRBÉSARTAN;IRBESARTAN TEVA 150 mg, comprimé pelliculé
comprimé pelliculé;1;CHLORHYDRATE DE VALGANCICLOVIR;VALGANCICLOVIR EG 450 mg, comprimé pelliculé
granulés pour solution buvable;1;ÉPOLAMINE DE DICLOFÉNAC;FLECTOR 50 mg, granulés pour solution buvable en sachet-dose
comprimé pelliculé;2;PIPÉRAQUINE (TÉTRAPHOSPHATE DE) TÉTRAHYDRATÉ;ARTÉNIMOL;EURARTESIM 320 mg/40 mg, comprimé pelliculé
gélule;1;LÉNALIDOMIDE;REVLIMID 7,5 mg, gélule
gélule;1;CHLORHYDRATE DE TRAMADOL;TRAMADOL EVOLUGEN 50 mg, gélule
comprimé;1;RAMIPRIL;RAMIPRIL ZYDUS FRANCE 1,25 mg, comprimé
solution injectable;1;CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ;MAGNESIUM CHLORURE RENAUDIN 10 % (0,1 g/ml), solution injectable (IV) en ampoule
solution injectable pour usage dentaire;2;TARTRATE DE NORADRÉNALINE;CHLORHYDRATE DE LIDOCAÏNE;XYLONOR 30 mg/mL NORADRENALINEE au 1/25 000, solution injectable à usage dentaire
 comprimé et solution(s) et granules et poudre et pommade;1;HEDERA HELIX POUR PRÉPARATIONS HOMÉOPATHIQUES;HEDERA HELIX LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
poudre et  solvant pour suspension injectable à libération prolongée;1;OLANZAPINE (PAMOATE D') MONOHYDRATÉ;ZYPADHERA 300 mg, poudre et solvant pour suspension injectable à libération prolongée
gelée;3;PARAFFINE SOLIDE;PARAFFINE LIQUIDE;CIRE MICROCRISTALLINE;LUBENTYL, gelée orale en pot
collutoire;2;DIGLUCONATE DE CHLORHEXIDINE;TÉTRACAÏNE (CHLORHYDRATE DE);DRILL MAUX DE GORGE CHLORHEXIDINE TETRACAINE, collutoire en flacon pressurisé
granulés pour suspension buvable;1;CLARITHROMYCINE;CLARITHROMYCINE SANDOZ 25 mg/ml, granulés pour suspension buvable
comprimé;1;OLANZAPINE;OLANZAPINE ISOMED 10 mg, comprimé
comprimé pelliculé;1;ENTÉCAVIR MONOHYDRATÉ;ENTECAVIR SANDOZ 0,5 mg, comprimé pelliculé
solution injectable;1;ÉPOÉTINE ALFA ;EPREX 4000 UI/ml, solution injectable en seringue préremplie
solution pour inhalation;1;DIPROPIONATE DE BÉCLOMÉTASONE;BECLOSPRAY 250 microgrammes/dose, solution pour inhalation en flacon pressurisé
comprimé pelliculé;1;(S)-MALATE DE CABOZANTINIB;CABOMETYX 60 mg, comprimé pelliculé
comprimé enrobé et  comprimé enrobé et  comprimé enrobé;2;LÉVONORGESTREL;ÉTHINYLESTRADIOL;DAILY, comprimé enrobé
comprimé gastro-résistant(e);1;RABÉPRAZOLE SODIQUE;RABEPRAZOLE KRKA 10 mg, comprimé gastro-résistant
comprimé pelliculé;1;CLARITHROMYCINE;CLARITHROMYCINE BIPHAR 250 mg, comprimé pelliculé
solution et  solution pour dialyse péritonéale;6;CHLORURE DE SODIUM;CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ;GLUCOSE MONOHYDRATÉ;BICARBONATE DE SODIUM;SOLUTION DE (S)-LACTATE DE SODIUM;CHLORURE DE CALCIUM DIHYDRATÉ;PHYSIONEAL 40 GLUCOSE 1,36 % CLEARFLEX, solution pour dialyse péritonéale
gélule à libération prolongée;1;THÉOPHYLLINE;EUPHYLLINE L.A. 300 mg, gélule à libération prolongée
comprimé pelliculé;3;LÉVODOPA;CARBIDOPA MONOHYDRATÉE;ENTACAPONE;LEVODOPA/CARBIDOPA/ENTACAPONE MYLAN 50 mg/12,5 mg/200 mg, comprimé pelliculé
poudre pour application;1;OXICONAZOLE (NITRATE D');FONX 1 POUR CENT, poudre pour application locale en flacon poudreur
poudre et  solvant pour solution injectable;1;ROMIPLOSTIM ;NPLATE 500 microgrammes, poudre et solvant pour solution injectable
crème;1;ÉNOXOLONE;PO 12 2 POUR CENT, crème
comprimé;1;ACARBOSE;GLUCOR 50 mg, comprimé
gélule gastro-résistant(e);1;OMÉPRAZOLE;OMEPRAZOLE EVOLUGEN 20 mg, gélule gastro-résistante
comprimé pelliculé;1;RIBAVIRINE;RIBAVIRINE MYLAN 400 mg, comprimé pelliculé
comprimé pelliculé;1;CAPÉCITABINE;CAPECITABINE BIOGARAN 500 mg, comprimé pelliculé
comprimé sécable;1;SPIRONOLACTONE;SPIRONOLACTONE PFIZER 25 mg, comprimé sécable
comprimé;1;CHLORHYDRATE DE BUPRÉNORPHINE;TEMGESIC 0,2 mg, comprimé sublingual
solution pour perfusion;1;TRÉPROSTINIL SODIQUE;REMODULIN 5 mg/ml, solution pour perfusion
poudre et  solvant pour solution pour perfusion;1;RIFAMPICINE SODIQUE;RIFADINE IV 600 mg, poudre et solvant pour solution pour perfusion
comprimé sécable;2;HYDROCHLOROTHIAZIDE;LISINOPRIL DIHYDRATÉ;LISINOPRIL/HYDROCHLOROTHIAZIDE ZYDUS 20 mg/12,5 mg, comprimé sécable
